,,,,,,,,,
,PJT 問題点管理表　利用後はフィルタ解除の事,,,,,横河記載,,,
,No,起票日,発生元,件名,サブシステム名,サブシステム名,機能名,不具合内容,対応内容
列1,No,起票日,製油所,(テストケース),(問題発生),(主たる修正対象),機能名,不具合内容,対応内容
,0001,2025/02/25,千葉,マスタ管理,M：マスタ管理,M：マスタ管理,"VIMX000004_マスタ-編集
VIMX000005_マスタ-検索
","■事象
マスタ管理のVIMX000004とVIMX000005の画面において下段の実行ボタンがずれている
■あるべき姿","■原因
ボタンを配置する領域の設定サイズが小さかったためです。

■対策
すべてのボタンが一行で表示されるようにサイズを修正致します。
"
,0002,2025/02/26,千葉,S25 3-20,C：進捗管理,C：進捗管理,VICB040902_揚荷記録表(1時間),"■事象
進捗管理-揚荷記録表の船名等表示欄がずれている。
■あるべき姿
","■原因
予定量 - 換算量の数量の枠が大きく表示されていたためです。

■対策
タイトル行に合わせて修正致します。
"
,0003,2025/02/27,千葉,,X：共通,X：共通,VIXX000005_システム定数明細,"■事象
システム管理-システム定数明細の画面サイズが小さくスクロールバーが表示されてしまう。

■あるべき姿","■原因
システム定数明細の画面の表示領域が小さかったためです。

■対策
表示領域を修正致します。
"
,0004,2025/02/27,千葉,,X：共通,X：共通,"VIMX000001_マスタ一覧
VIXL000001_操作履歴一覧
VIXL000002_操作履歴詳細
VIXX0000007_掲示板情報一覧
VIXX000004_システム定数一覧
VIXH000001_取引先検索_国外
VIEX020307_ロット性状データ表示
","■事象

画面表示において全体の表示がスクロールでずれてしまう。
","■原因
スクロールが画面表示領域よりの伸びているためです。

■対策
画面内に収まるようサイズを修正致します
VIMX000001_マスタ一覧
VIXL000001_操作履歴一覧
VIXL000002_操作履歴詳細
VIXX000007_掲示板情報一覧
VIXX000004_システム定数一覧
VIXH000001_取引先検索_国外
VIEX020307_ロット性状データ表示"
,0005,2025/02/27,千葉,クライアントセットアップ,X：共通,X：共通,エクセル権限設定,"■事象

ラスのクライアント端末で一部帳票がエクセルの設定不足により、利用できなかった。
信頼できる場所の追加で改善した。

オフサイト側に類似パターンがないか、影響範囲を確認したうえで調査する。
","■原因
　Officeトラストセンターのセキュリティ機能により、Excelマクロ実行が阻害されたため。

■対策
　Officeトラストセンターの「信頼できる場所」にExcelファイルの場所を追加。
"
,0006,2025/02/27,千葉,マスタローダ機能,L：試験管理,L：試験管理,マスタローダ機能,"■事象
マスタローダ機能を使うための32bitエクセルがクライアントにない。
→64bit版リリース後に確認する。","■原因
　64bit版リリースがまだできておりません。

■対策
　3/24週中にリリースできるよう対応進めてまいります。
　→3/24リリース実施済み
"
,0007,2025/02/27,千葉,S25 10-2,N：製油所モニタ,N：製油所モニタ,VINX010202_燃料油・化学品試験結果詳細,"■事象

試験項目の多いサンプルにおいて、表示レイアウトが崩れる。","■原因
明細表示領域が画面全体の表示領域からはみ出していたためです。

■対策
明細表示領域が画面全体の表示領域からはみ出ないように修正致しました。
"
,0008,2025/02/27,千葉,"S25 10-6,8",N：製油所モニタ,N：製油所モニタ,"VIXNX010208_依頼情報
VINX102210_試験項目参照","■事象

字間が非常に狭く、特に半角文字において判読性に影響がある。","■原因
半角文字の間隔を狭く定義していたためです。

■対策
文字の間隔を広くするよう修正致します。
"
,0009,2025/02/28,千葉,S26 1-84,帳票,帳票,帳票-タンク在庫日報,"■事象
タンク在庫日報の帳票出力時、コンパイルエラーが発生し帳票が出力、印刷できない。（同じ実績管理の帳票をいくつか確認したが同事象は発生せず）","■原因
Excel VBAのバージョンがあがったため。
■対策
Excel VBAのバージョンアップに伴って前バージョンと仕様が異なる箇所を修正いたしました。
"
