,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,保守 問題点管理表,,,,,,出光記載,横河記載,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,起票日,"発生元
製油所",起票者,"修正結果
確認者",件名,優先度,"サブシステム名
(問題発生)","サブシステム名
(主たる修正対象)",機能名,不具合内容,対応内容,担　当,対象製油所,,,,仕様変更区分,対応要否,優先度,"改善リスト
No","エビデンス
提出日",リリース日,クローズ日,原因,進捗,"ドキュメント
修正リスト
No","運転制御
関連",TSK-NO,INC-NO,"対応工数
（H）",内容,"対応
ステータス",見積工数（人日）,,,,,"見積
ステータス",見積前提条件,IKCコメント,YJPコメント,"旧インシデント
管理表No",備考,e,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,千葉,北海道,愛知,徳山,,,,,,,,,,,,,,,,,仕様／設計,開発,単体検査,結合検査,総合テスト,,,,,,,e,,,,,,,,,,,,,,,,,,,,
,001,2019/07/31,千葉,澤田陽哉,澤田陽哉,【オフラス再構築：LMISトライアル用】　新オフラスの画面レスポンスが非常に遅い,2019/07/31,－,－,,【内容】 ※本メールはLMISトライアルを行うためのものであり，実際の問い合わせではありません※ 本日9時30分頃から画面の応答が非常に遅くなっております。 業務に支障が出始めていますので，早急に改善をお願いします。 【対象システム】 新オフラス,作業内容・結果が送信されるかの確認になります。 LMISのシュミレーション確認完了いたしました。 今後は、結果報告はこちらに記載し、エビデンスはメモ＆添付ファイルにて提出いたします。 その他必須入力箇所や各報告にて対応必要な注意事項等あれば共有お願いいたします。 8/15 柳下,その他,●,,,,,,,,ー,－,2019/08/15,,対応不要,,－,TSK-00028033,INC-00127702,,,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,
,002,2019/08/23,千葉,直野綾,直野綾,【石炭事業部】消耗品費に身に覚えのない金額が計上されています。,2019/08/28,－,－,,情報システム部御中 お疲れ様です。 収益費用実績を確認していたところ、消耗品費にC重油の金額が計上されておりました。 石炭事業部では、サンプル出荷したときに、消耗品費（数量×棚卸単価）へ計上されます。 7月は石炭サンプル出荷実績がありませんし、何故計上されているのか分かりません。 計上された原因を教えていただけますでしょうか。 よろしくお願いいたします。,"■原因

■対策
",その他,●,,,,,,,,ー,－,2019/08/23,,対応不要,,－,TSK-00028946,INC-00130851,,,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,
,003,2019/09/10,千葉,小林義彦,伊藤祐希,【至急】【本日(9/10)中希望】IOS20-OFL：外航通関（外貨製造搬出実績一覧画面の搬出アイコン押下でエラー出力）について,2019/09/10,F：外航通関,F：外航通関,外貨製造搬出日一覧画面,"■事象
（１）外貨製造搬出日一覧の「搬出」アイコン押下でエラーが出て引落しができない
（２）２）ゼアスは未納税品にも関わらず外貨製造搬出日一覧画面に出漁されている。
添付ファイル：外貨製造搬出実績一覧画面の搬出アイコン押下でエラーが出て次画面への展開不可（引落しができない）.xlsx 
■あるべき姿
（１）エラーが出ない事（エラー原因調査結果に従う）
（２）外貨ではないので一覧画面に出力させない事（旧システムでは出力していない）
■代替手段 現地側での対応はできません。

2020/5/15:外航の在庫引き落としができない。発生すると業務が進まないため、問題が修正されていない場合は同様の問い合わせが発生する。リリース後同様の問い合わせが出ていないことから、問題なしと判断する。","■原因
（１）INC-00133637として起票
（２）ボンド出荷進捗管理（インボイス）情報を作成する際、 税区分が「未納品」のインボイスを作成対象外にする処理が漏れていたためです。
■対策
（１）税区分が「未納品」のインボイスについては、 ボンド出荷進捗管理（インボイス）情報を作成しないように修正いたします。
（２）システムエラー時の原因不明を解消するために、 実績数量が0の旨のメッセージを出力するようにいたします。
検証エビデンス（【INC_00133461】外貨製造搬出日一覧の不具合.xlsx）を添付いたします。 内容のご確認をお願いいたします。 2019/09/20　検証エビデンス確認結果 
（１）は確認OK
（２）は確認NG 
そもそもの原因は「「作業実績ファイルメンテ」画面の不備にて、画面入力された実績数量がジョブ タンクテーブルに登録されておりませんでした」との事ですが、修正エビデンスの画面でその事が 判らないと思います。（外航担当者が認識できない）
メッセージの文言を見てアクションが取れる様な文言へ変更をお願いします。

 2019/9/20　確認依頼
①「作業実績ファイルメンテ」画面の不備が改修されれば、 当該画面より入力された内容が実績数量として管理され、0が発生しない認識です。
②また、運転制御からジョブ終了時であっても実績が上がってこないケースが発生した場合、 今回の事象が発生いたします。 ①、②から、 「実績数量が不正のためブレンド比率計算ができません。」 「作業実績画面にて実績数量をメンテナンスしてください。」 のメッセージを出力しようと思いますが、いかがでしょうか。

 2019/09/14 追記 単品出荷の場合も考慮し、小林様から提案された 「実績数量が不正のため、作業実績画面にて実績数量をメンテナンスしてください。」 のメッセージを出力いたします。
 
2019/09/25 追記
検証エビデンスを提出いたします。
【INC_00133451】実績数量が0の場合、システムエラーが発生する不具合.xlsx
内容のご確認をお願いいたします。
",オフラス,●,,,,,,,,2019/09/25,2019/10/09,2020/05/15,AP・コーディング,確認完了,,－,TSK-00029606,INC-00133451,,,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,
,004,2019/09/10,千葉,小林義彦,小林義彦,IOS20-OFL：マスバランス（製品半製品受払表の品名欄が空白で出力される）について,2019/09/17,－,－,,"■事象
サブシステム：マスバランス（自営帳票） 機能：製品半製品受払表
（１）品名が空白で出力される
 ※画面からのパラメタは「REG」という品名が受け渡されている 
エビデンスファイル格納BOX：https://idemitsu.ent.box.com/folder/76930465581 エビデンスファイル名：【No702】製品半製品受払表.xlsm
■あるべき姿
（１）画面からのパラメタに従って出力する事（今回の例では品名「REG」を出力する）
■代替手段
現地側での対応はできません。
（EXCEL帳票での修正は不可。追加書き不可のエリアの為）","帳票の処理に問題があったため，修正致しました。修正エビデンスを添付します。 お手数ですが意図した内容になっているか確認の上，回答をお願いします。

2019/09/12　EXEよりリリース依頼のメールを送信
2019/09/26　小林様より結果確認終了、クローズのメール有",自営帳票,●,,,,,,,,ー,－,2019/09/26,,確認完了,,－,TSK-00029611,INC-00133461,,,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,
,005,2019/09/11,千葉,伊藤祐希,伊藤祐希,IOS20-OFL：タンク受払実績（計量シフト）について,2019/09/17,D：実績管理,D：実績管理,,"■事象
9/6タンク受払実績において，G-2計量シフトの実績がおかしい 日跨ぎした計量シフトJOBがうまく反映できていない
 ※特殊な状況として前日の計量シフトJOBが終了していない
JOB削除されていない）
 ■あるべき姿
 9/6のT50184実績値は9/7の数値と合致する。
 ■代替手段
 タンク受払実績を手書き修正する。","■原因
該当のJOB(JOBNo:315578)では、CS50(通油開始)の伝文が、Oracleのend-of-file問題により、登録できていませんでした。
そのため、締め時刻(4時)時点で、作業していたと判断されず、9/6実績分の中間実績数量が0となっておりました。
その後、実績伝文を受信したため、実績量全量が9/7実績分として計上されておりました。
End-of-file問題はFWのセッション切れが直接原因であり，FWの設定とアプリ面両面で対策を準備中です。
■対策
End-of-file問題は、他の問題点でも原因として挙がっており、対策を実施するかどうかという状態と認識しております。
対策が実施され、期待された効果が出れば、本件も解消する見込みです。 2019/10/23 「2019/10/11 (金) 9:05　[IOS20-OFL] 初期流動問題点No.384、No.587、No.631」のメールによりEnd-of-file問題はクローズすることとなりました。 本件も同様に完了といたします。",オフラス,●,,,,,,,,ー,2019/10/23,2019/10/23,その他,対応不要,,－,TSK-00029627,INC-00133539,,,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,
,006,2019/09/11,千葉,小林義彦,伊藤祐希,IOS20-OFL：実績管理（海上出荷作業実績ファイルメンテナンス画面の不具合）について,2019/09/30,D：実績管理,D：実績管理,,"■事象
・海上出荷作業実績ファイルメンテナンス画面で登録した数量が、TIBB004(JOBタンク)に反映されず、「0」になる。
 【一次調査結果（YJP回答）】 
・海上出荷作業実績ファイルメンテナンス画面で登録した内容(数量)が、正しくTIBB004(JOBタンク)に 反映されておりませんでした。 TIBB003(工程コンポーネント)には登録内容の通り数量が更新されておりますが、TIBB004(JOBタンク)の 更新時に問題があるようです。
おそらくAP・コーディングの問題と思われ、現在詳細原因を調査中です。
■あるべき姿
 ・画面で登録したコンポーネントタンクの数量で、TIBB004(JOBタンク)の実績数量が更新される
■代替手段 ・今回と同じケースが発生した場合は、今回と同様のデータパッチを実施して貰う必要があります。 現地側での対応はできません。 又、OMC側での問題もあるという事で不具合として対応されるという情報もあります。 以上 ","■原因
海上出荷実績ファイルメンテナンス画面の更新ロジックが、前尺後尺が未設定のJOBに対して考慮漏れがあり、発生しておりました。 

■対策
AP修正します。

修正エビデンスを添付ファイルに追加いたしました。 
2019/09/24 複数基材タンクの場合の修正エビデンスを添付ファイルに追加いたしました。",オフラス,●,,,,,,,,2019/09/24,2019/10/02,2020/02/27,AP・コーディング,確認完了,,－,TSK-00029651,INC-00133637,,,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,
,007,2019/09/17,千葉,小林義彦,伊藤祐希,【至急】IOS20-OFL：外航通関（外貨搬出実績の確定ができない「javaエラー発生」）について,2019/09/17,F：外航通関,C：進捗管理,,"■事象
 ・外貨搬出実績数量確定画面（2019/9/15搬出）にて必要事項入力後、確定ボタンを押下したがjavaエラーが出て確定できない。
情報として、元々同一本船（CARRERA）へ艀が２隻（9月15日：２８青峰山丸、８健晃丸）ありましたが、1隻（８健晃丸）が 日延べ（9月16日）しています。(オーダ管理画面にて実施されどちらも既に出荷済です) 
但し、外航通関側のボンド出荷オーダ一覧画面（9月15日搬出日）、出荷実績画面は日延べした８健晃丸も表示されています。 （積み込み数量は０です）日延べになっています。同一本船です）海上出荷作業実績ファイルメンテナンス画面で登録した数量が、TIBB004(JOBタンク)に反映されず、「0」になる ※既知の不具合なのか？新規不具合なのか確認もお願いします。
■あるべき姿 
・画面で確定ができ、引落ができ次業務へ進める事 
■代替手段
 ・業務側での修正はできません。（APL改修・データパッチのみ）
2020/5/15:不具合の場合、Javaエラーが発生し、先へ進めない。同様の問い合わせが発生していないため、本件は問題なしとしてクローズする。","■原因
進捗管理にて「中止オーダ削除」を実施した場合、オーダ関連、JOB関連のデータの削除は実施しておりますが、 外航通関のボンド出荷進捗管理テーブル（インボイス）のデータを削除していなかったことから、 データの不整合が発生し、外航通関側でエラーが発生しております。
■対策
進捗管理において「中止オーダ削除」時、外航通関の対象テーブル（ボンド出荷進捗管理）のデータも削除するように修正いたします。
暫定対処： データパッチにて、発生しているデータ不整合を無くします。（9/18　9:00に作業予定）
 データパッチの検証エビデンスを添付いたします。 【INC-00134231】外貨搬出実績の確定ができない.xlsx 内容のご確認、および、データパッチ実施の承認をお願いいたします。 データパッチは9/18に実施済
 恒久対応： 検証エビデンスを9/27（金）に提出いたします。

 2019/10/01 追記 検証エビデンスの提出が遅くなり申し訳ございません。
 下記の検証エビデンスを添付いたしました。
【TSK-00029849】外航通関(外貨搬出実績の確定ができない「javaエラー発生」)について.xlsx
 内容のご確認をお願いいたします。",オフラス,●,,,,,,,,2019/10/01,2019/10/09,2020/05/15,AP・コーディング,確認完了,,－,TSK-00029849,INC-00134231,,,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,
